name,synonym,path,
군장대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_65.png,
그리스도대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_66.png,
극동대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_67.png,
금강대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_68.png,
금오공과대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_69.png,
기독간호대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_70.png,
경북보건대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_71.png,
김천대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_72.png,
김포대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_73.png,
김해대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_74.png,
꽃동네대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_75.png,
나사렛대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_76.png,
남부대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_77.png,
남서울대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_78.png,
농협대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_79.png,
단국대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_80.png,
대경대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_81.png,
대구가톨릭대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_82.png,
대구경북과학기술원,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_83.png,
대구공업대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_84.png,
대구과학대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_85.png,
대구교대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_86.png,
대구대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_87.png,
대구미래대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_88.png,
대구보건대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_89.png,
대구예술대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_90.png,
대구외대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_91.png,
대구한의대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_92.png,
대덕대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_93.png,
대동대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_94.png,
대림대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_95.png,
대신대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_96.png,
대원대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_97.png,
대전가톨릭대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_98.png,
대전대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_99.png,
대전보건대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_100.png,
대전신학대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_101.png,
대진대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_102.png,
덕성여대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_103.png,
동강대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_104.png,
동국대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_105.png,
동남보건대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_106.png,
동덕여대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_107.png,
동명대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_108.png,
동부산대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_109.png,
동서대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_110.png,
동서울대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_111.png,
동신대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_112.png,
동아대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_113.png,
동아방송예술대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_114.png,
동아보건대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_115.png,
동양대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_116.png,
동양미래대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_117.png,
동원과학기술대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_118.png,
동원대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_119.png,
동의과학대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_120.png,
동의대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_121.png,
동주대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_122.png,
두원공과대학,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_123.png,
루터대,,https://raw.githubusercontent.com/ejeonghun/university_dept_api/main/img/png/PNG_124.png,
